"indicator_id","indicator_name","unit","geo_area","geo_name","sex","time_period","value","status","source","source_url","extraction_date","methodology_note"
"POP-MALE","Poblacion de hombres","persons","04","Campeche","male","1995","322991","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; periodo censal comparable por entidad y sexo. 2015 excluido por cobertura incompleta."
"POP-TOTAL","Poblacion total","persons","04","Campeche","total","1995","642516","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; periodo censal comparable por entidad y sexo. 2015 excluido por cobertura incompleta."
"POP-FEMALE","Poblacion de mujeres","persons","04","Campeche","female","2000","346355","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; periodo censal comparable por entidad y sexo. 2015 excluido por cobertura incompleta."
"POP-MALE","Poblacion de hombres","persons","04","Campeche","male","2000","344334","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; periodo censal comparable por entidad y sexo. 2015 excluido por cobertura incompleta."
"POP-TOTAL","Poblacion total","persons","04","Campeche","total","2000","690689","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; periodo censal comparable por entidad y sexo. 2015 excluido por cobertura incompleta."
"POP-FEMALE","Poblacion de mujeres","persons","04","Campeche","female","2005","381273","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; periodo censal comparable por entidad y sexo. 2015 excluido por cobertura incompleta."
"POP-MALE","Poblacion de hombres","persons","04","Campeche","male","2005","373457","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; periodo censal comparable por entidad y sexo. 2015 excluido por cobertura incompleta."
"POP-TOTAL","Poblacion total","persons","04","Campeche","total","2005","754730","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; periodo censal comparable por entidad y sexo. 2015 excluido por cobertura incompleta."
"POP-FEMALE","Poblacion de mujeres","persons","04","Campeche","female","2010","414720","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; periodo censal comparable por entidad y sexo. 2015 excluido por cobertura incompleta."
"POP-MALE","Poblacion de hombres","persons","04","Campeche","male","2010","407721","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; periodo censal comparable por entidad y sexo. 2015 excluido por cobertura incompleta."
"POP-TOTAL","Poblacion total","persons","04","Campeche","total","2010","822441","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; periodo censal comparable por entidad y sexo. 2015 excluido por cobertura incompleta."
"POP-FEMALE","Poblacion de mujeres","persons","04","Campeche","female","2020","471424","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; periodo censal comparable por entidad y sexo. 2015 excluido por cobertura incompleta."
"POP-MALE","Poblacion de hombres","persons","04","Campeche","male","2020","456939","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; periodo censal comparable por entidad y sexo. 2015 excluido por cobertura incompleta."
"POP-TOTAL","Poblacion total","persons","04","Campeche","total","2020","928363","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; periodo censal comparable por entidad y sexo. 2015 excluido por cobertura incompleta."
"POP-FEMALE","Poblacion de mujeres","persons","05","Coahuila de Zaragoza","female","1995","1093181","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; periodo censal comparable por entidad y sexo. 2015 excluido por cobertura incompleta."
"POP-MALE","Poblacion de hombres","persons","05","Coahuila de Zaragoza","male","1995","1080594","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; periodo censal comparable por entidad y sexo. 2015 excluido por cobertura incompleta."
"POP-TOTAL","Poblacion total","persons","05","Coahuila de Zaragoza","total","1995","2173775","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; periodo censal comparable por entidad y sexo. 2015 excluido por cobertura incompleta."
"POP-FEMALE","Poblacion de mujeres","persons","05","Coahuila de Zaragoza","female","2000","1157875","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; periodo censal comparable por entidad y sexo. 2015 excluido por cobertura incompleta."
"POP-MALE","Poblacion de hombres","persons","05","Coahuila de Zaragoza","male","2000","1140195","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; periodo censal comparable por entidad y sexo. 2015 excluido por cobertura incompleta."
"POP-TOTAL","Poblacion total","persons","05","Coahuila de Zaragoza","total","2000","2298070","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; periodo censal comparable por entidad y sexo. 2015 excluido por cobertura incompleta."
"POP-FEMALE","Poblacion de mujeres","persons","05","Coahuila de Zaragoza","female","2005","1258320","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; periodo censal comparable por entidad y sexo. 2015 excluido por cobertura incompleta."
"POP-MALE","Poblacion de hombres","persons","05","Coahuila de Zaragoza","male","2005","1236880","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; periodo censal comparable por entidad y sexo. 2015 excluido por cobertura incompleta."
"POP-TOTAL","Poblacion total","persons","05","Coahuila de Zaragoza","total","2005","2495200","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; periodo censal comparable por entidad y sexo. 2015 excluido por cobertura incompleta."
"POP-FEMALE","Poblacion de mujeres","persons","05","Coahuila de Zaragoza","female","2010","1384194","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; periodo censal comparable por entidad y sexo. 2015 excluido por cobertura incompleta."
"POP-MALE","Poblacion de hombres","persons","05","Coahuila de Zaragoza","male","2010","1364197","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; periodo censal comparable por entidad y sexo. 2015 excluido por cobertura incompleta."
"POP-TOTAL","Poblacion total","persons","05","Coahuila de Zaragoza","total","2010","2748391","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; periodo censal comparable por entidad y sexo. 2015 excluido por cobertura incompleta."
