"indicator_id","indicator_name","unit","geo_area","geo_name","sex","time_period","value","status","source","source_url","extraction_date","methodology_note"
"POP-TOTAL","Poblacion total","persons","22","QuerÃ©taro","total","2020","2368467","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-MALE","Poblacion de hombres","persons","22","QuerÃ©taro","male","2020","1156820","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-FEMALE","Poblacion de mujeres","persons","22","QuerÃ©taro","female","2020","1211647","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-TOTAL","Poblacion total","persons","23","Quintana Roo","total","2020","1857985","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-MALE","Poblacion de hombres","persons","23","Quintana Roo","male","2020","936779","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-FEMALE","Poblacion de mujeres","persons","23","Quintana Roo","female","2020","921206","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-TOTAL","Poblacion total","persons","24","San Luis PotosÃ­","total","2020","2822255","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-MALE","Poblacion de hombres","persons","24","San Luis PotosÃ­","male","2020","1372451","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-FEMALE","Poblacion de mujeres","persons","24","San Luis PotosÃ­","female","2020","1449804","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-TOTAL","Poblacion total","persons","25","Sinaloa","total","2020","3026943","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-MALE","Poblacion de hombres","persons","25","Sinaloa","male","2020","1494815","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-FEMALE","Poblacion de mujeres","persons","25","Sinaloa","female","2020","1532128","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-TOTAL","Poblacion total","persons","26","Sonora","total","2020","2944840","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-MALE","Poblacion de hombres","persons","26","Sonora","male","2020","1472197","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-FEMALE","Poblacion de mujeres","persons","26","Sonora","female","2020","1472643","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-TOTAL","Poblacion total","persons","27","Tabasco","total","2020","2402598","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-MALE","Poblacion de hombres","persons","27","Tabasco","male","2020","1173671","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-FEMALE","Poblacion de mujeres","persons","27","Tabasco","female","2020","1228927","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-TOTAL","Poblacion total","persons","28","Tamaulipas","total","2020","3527735","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-MALE","Poblacion de hombres","persons","28","Tamaulipas","male","2020","1736140","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
